Location,Tournament,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,AvgW,AvgL,target
23,131,3,1,2,0,2,102,235,13.0,26.0,2290.0,1570.0,1.67,2.22,1
53,17,2,1,2,1,3,679,222,34.0,22.0,1467.0,2175.0,3.24,1.34,0
56,79,3,1,2,1,1,49,596,28.0,54.0,1430.0,866.0,2.01,1.79,0
31,82,0,1,0,6,1,135,142,67.0,167.0,782.0,326.0,1.55,2.46,1
5,44,0,0,2,4,1,498,618,79.0,13.0,884.0,2970.0,2.17,1.69,0
77,30,0,0,0,0,1,320,703,45.0,69.0,1225.0,847.0,1.44,2.73,0
68,20,3,0,2,0,1,254,108,105.0,79.0,682.0,811.0,1.57,2.4,1
53,76,0,1,2,4,1,467,596,88.0,95.0,806.0,778.0,2.2,1.66,0
63,127,2,1,2,0,3,680,213,191.0,24.0,309.0,1770.0,3.29,1.34,0
27,37,0,1,2,6,2,422,332,41.0,29.0,1043.0,1295.0,2.39,1.55,0
39,62,0,1,2,4,1,494,490,17.0,62.0,2600.0,832.0,1.32,3.3,0
88,121,0,1,2,1,1,200,432,26.0,61.0,1912.0,1001.0,1.31,3.41,1
15,26,0,1,2,0,1,493,163,42.0,14.0,1050.0,2570.0,3.25,1.33,0
74,64,3,1,0,1,1,155,765,128.0,6.0,594.0,6945.0,9.34,1.06,0
4,11,0,0,2,7,1,147,96,23.0,49.0,1860.0,1090.0,1.21,4.43,1
63,127,2,1,2,0,4,49,623,13.0,81.0,2525.0,646.0,1.12,6.17,1
37,136,1,1,0,0,2,274,720,58.0,45.0,810.0,945.0,2.72,1.46,0
75,0,1,0,2,0,2,337,132,48.0,61.0,904.0,750.0,1.6,2.29,0
23,131,3,1,2,0,1,307,350,20.0,78.0,1685.0,766.0,1.42,2.85,1
63,127,2,1,2,1,3,119,370,23.0,84.0,1630.0,681.0,1.42,2.94,0
27,37,0,1,2,1,1,629,464,27.0,87.0,1560.0,599.0,1.28,3.65,0
4,11,0,1,1,4,1,684,102,101.0,59.0,548.0,860.0,1.54,2.47,0
49,74,0,1,1,1,1,164,160,62.0,41.0,936.0,1285.0,2.83,1.42,0
35,118,0,1,0,4,1,659,202,455.0,90.0,20.0,614.0,1.91,1.9,1
81,108,3,1,2,0,1,696,472,15.0,37.0,1987.0,1195.0,1.81,2.02,1
41,21,3,1,2,4,2,208,119,1.0,26.0,10060.0,1567.0,1.13,6.2,1
12,31,1,1,2,0,1,49,765,26.0,5.0,1570.0,4890.0,3.34,1.33,0
41,21,3,1,2,0,2,25,552,169.0,75.0,327.0,708.0,2.72,1.46,1
73,102,1,1,0,1,2,618,677,90.0,19.0,621.0,1930.0,3.55,1.29,0
68,47,2,1,0,0,3,642,488,9.0,101.0,3435.0,639.0,1.03,13.23,1
80,68,0,1,2,4,1,355,439,222.0,82.0,228.0,635.0,3.51,1.3,1
45,132,2,1,1,1,3,599,414,44.0,39.0,1045.0,1214.0,1.69,2.18,1
37,52,1,1,0,0,2,637,347,116.0,47.0,523.0,943.0,3.66,1.27,0
13,107,0,1,0,0,1,599,746,151.0,98.0,414.0,704.0,2.1,1.73,1
57,83,3,1,0,0,1,697,222,102.0,65.0,593.0,810.0,1.14,5.56,0
68,20,3,0,2,0,1,336,29,55.0,26.0,965.0,1690.0,1.4,3.0,1
88,13,0,1,2,0,2,678,47,75.0,94.0,699.0,624.0,1.5,2.53,1
68,47,2,1,0,1,3,562,632,106.0,103.0,538.0,580.0,2.15,1.72,1
28,97,1,1,2,0,1,176,426,216.0,57.0,265.0,1010.0,5.26,1.15,0
61,19,0,1,0,4,2,49,197,16.0,51.0,1985.0,916.0,1.2,4.41,1
12,31,1,1,2,4,1,320,765,23.0,10.0,1494.0,3280.0,3.12,1.36,0
73,102,1,1,0,1,1,703,185,91.0,97.0,644.0,619.0,1.61,2.31,1
7,4,0,1,2,1,2,324,49,46.0,21.0,1055.0,1855.0,3.57,1.29,0
82,109,0,1,2,1,2,358,63,128.0,5.0,430.0,5050.0,9.3,1.05,0
60,69,0,0,2,0,2,202,185,75.0,38.0,699.0,1181.0,4.23,1.22,0
41,21,3,1,2,2,1,90,177,937.0,14.0,17.0,2810.0,4.52,1.2,0
88,13,0,1,2,4,2,77,691,52.0,94.0,810.0,558.0,1.91,1.85,0
25,34,0,1,0,1,1,651,101,23.0,76.0,1937.0,831.0,1.58,2.36,1
47,71,0,1,0,1,2,383,303,68.0,334.0,824.0,150.0,1.12,6.29,1
53,17,2,1,2,3,3,631,739,89.0,67.0,604.0,758.0,1.93,1.89,1
60,69,0,0,2,4,2,62,96,169.0,107.0,310.0,520.0,2.1,1.73,1
45,132,2,1,1,1,4,422,663,51.0,44.0,896.0,967.0,1.97,1.83,1
63,127,2,1,2,1,4,540,410,66.0,94.0,825.0,603.0,1.48,2.69,1
36,53,1,1,1,1,2,269,208,86.0,2.0,600.0,9165.0,6.59,1.1,0
96,32,1,1,2,0,1,628,256,149.0,155.0,420.0,384.0,1.21,4.3,1
86,116,0,0,2,0,1,714,354,289.0,271.0,180.0,204.0,2.44,1.54,1
64,57,0,1,1,1,1,10,92,296.0,145.0,221.0,418.0,1.76,2.04,1
68,20,3,0,2,1,1,142,265,28.0,23.0,1460.0,1570.0,1.95,1.85,0
14,33,0,1,0,1,2,663,197,152.0,49.0,337.0,886.0,2.34,1.58,0
63,127,2,1,2,0,3,678,419,59.0,71.0,1090.0,990.0,1.34,3.28,1
74,64,3,1,0,3,1,82,765,53.0,5.0,931.0,5435.0,5.94,1.13,0
55,94,0,0,2,1,2,640,585,10.0,168.0,2560.0,308.0,1.25,3.86,1
1,5,1,1,2,0,1,313,222,38.0,5.0,995.0,3660.0,3.7,1.27,0
48,85,3,1,0,0,1,568,121,43.0,24.0,1106.0,1695.0,2.16,1.7,0
53,17,2,1,2,0,4,623,314,46.0,50.0,915.0,850.0,1.62,2.26,1
81,108,3,1,2,1,1,577,670,62.0,23.0,843.0,1963.0,1.98,1.81,0
85,115,0,0,2,0,2,383,540,80.0,71.0,637.0,692.0,1.79,2.01,0
59,27,3,1,2,1,1,592,200,8.0,39.0,3710.0,1170.0,1.35,3.17,0
68,47,2,1,0,2,4,553,568,17.0,20.0,2320.0,2065.0,1.83,1.98,0
74,64,3,1,0,0,1,142,163,48.0,17.0,1328.0,2586.0,1.68,2.19,1
64,57,0,1,1,0,1,439,298,99.0,74.0,626.0,751.0,1.7,2.12,1
68,47,2,1,0,0,3,678,490,64.0,72.0,1042.0,974.0,7.24,1.1,0
23,131,3,1,2,1,2,496,135,5.0,19.0,4850.0,1710.0,1.35,3.2,1
51,55,0,1,0,1,2,713,568,160.0,23.0,349.0,1745.0,3.81,1.27,1
63,127,2,1,2,2,4,10,132,32.0,61.0,1360.0,796.0,1.4,2.99,1
68,47,2,1,0,0,4,406,220,36.0,138.0,1115.0,425.0,1.51,2.58,1
66,3,1,1,1,6,2,324,623,38.0,57.0,1155.0,865.0,1.67,2.17,1
87,78,0,1,1,1,1,640,25,37.0,21.0,1190.0,1462.0,2.54,1.51,0
23,131,3,1,2,0,1,216,47,36.0,40.0,1689.0,1578.0,2.17,1.7,1
5,44,0,0,2,0,1,49,707,60.0,119.0,906.0,496.0,1.89,1.88,1
29,38,1,1,2,6,1,592,331,8.0,42.0,5011.0,1395.0,1.22,4.24,0
55,94,0,0,2,0,1,417,306,129.0,65.0,429.0,891.0,3.58,1.29,1
68,47,2,1,0,2,3,595,760,4.0,71.0,4960.0,752.0,1.12,6.31,1
86,116,0,0,2,4,2,640,648,15.0,32.0,2065.0,1210.0,1.71,2.1,0
53,17,2,1,2,1,3,496,439,2.0,65.0,5770.0,775.0,1.08,7.88,0
30,39,0,1,1,0,1,217,64,57.0,50.0,991.0,1079.0,1.54,2.47,1
41,21,3,1,2,1,2,496,489,5.0,45.0,4810.0,970.0,1.31,3.4,1
68,47,2,1,0,1,3,306,651,40.0,48.0,1026.0,925.0,1.72,2.14,0
63,127,2,1,2,0,4,184,121,427.0,9.0,98.0,3515.0,18.13,1.01,0
41,21,3,1,2,0,1,298,632,83.0,98.0,732.0,618.0,2.2,1.67,1
74,64,3,1,0,3,1,513,165,13.0,1.0,2680.0,6775.0,5.56,1.14,0
61,19,0,1,0,4,1,765,233,5.0,106.0,5425.0,598.0,1.18,4.85,0
74,64,3,1,0,0,1,517,101,143.0,59.0,398.0,946.0,1.68,2.21,1
93,35,0,1,0,4,1,35,688,208.0,105.0,241.0,543.0,2.05,1.77,1
84,112,0,0,2,4,1,642,147,44.0,25.0,1214.0,1815.0,1.71,2.14,1
96,32,1,1,2,1,1,679,96,40.0,72.0,1060.0,819.0,1.54,2.48,1
81,108,3,1,2,2,1,642,198,1.0,37.0,11010.0,1335.0,1.03,12.58,1
27,37,0,1,2,0,1,7,648,82.0,141.0,803.0,484.0,2.12,1.71,0
35,118,0,1,0,0,1,580,480,167.0,265.0,331.0,161.0,1.76,2.04,0
68,47,2,1,0,2,4,216,733,29.0,3.0,1350.0,5695.0,3.83,1.26,0
31,81,0,1,0,0,2,187,171,41.0,242.0,958.0,212.0,1.12,5.99,0
95,129,1,0,2,0,1,514,419,116.0,68.0,681.0,954.0,1.68,2.17,1
31,81,0,1,0,0,2,359,260,104.0,106.0,514.0,507.0,1.54,2.4,1
68,47,2,1,0,1,4,232,677,51.0,15.0,865.0,2430.0,4.77,1.18,0
23,131,3,1,2,2,1,422,250,59.0,19.0,916.0,1815.0,2.75,1.45,0
56,113,3,1,2,0,2,618,677,61.0,52.0,797.0,891.0,2.66,1.45,0
11,111,0,1,0,0,2,458,13,52.0,104.0,966.0,545.0,1.68,2.16,1
7,4,0,1,2,4,1,64,101,66.0,59.0,783.0,981.0,1.6,2.31,1
71,99,1,1,1,1,1,379,25,39.0,21.0,1180.0,1522.0,1.94,1.86,0
33,51,0,1,0,4,2,247,121,67.0,10.0,710.0,3325.0,3.17,1.34,1
23,131,3,1,2,0,2,652,349,44.0,28.0,986.0,1265.0,3.69,1.27,1
63,127,2,1,2,0,3,62,618,96.0,14.0,818.0,2980.0,5.77,1.14,0
42,65,0,1,0,6,2,618,121,46.0,8.0,912.0,3565.0,2.29,1.62,0
61,19,0,1,0,4,2,49,279,18.0,273.0,2145.0,180.0,1.12,6.33,1
5,44,0,0,2,4,1,577,642,65.0,16.0,965.0,2895.0,4.28,1.22,0
64,57,0,1,1,4,2,648,296,39.0,237.0,1090.0,203.0,1.28,3.61,1
68,20,3,0,2,0,1,213,7,36.0,54.0,1203.0,901.0,1.32,3.39,0
