Location,Tournament,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,AvgW,AvgL,target
71,99,1,1,1,1,1,367,68,82.0,10.0,733.0,3570.0,4.77,1.18,0
52,90,0,0,2,0,2,148,269,152.0,75.0,388.0,701.0,2.41,1.56,0
85,115,0,0,2,1,1,337,733,24.0,88.0,1605.0,650.0,1.65,2.26,0
46,6,0,1,2,0,2,684,240,153.0,301.0,371.0,165.0,1.42,2.89,0
68,20,3,0,2,2,1,678,422,28.0,58.0,1571.0,929.0,1.55,2.41,1
74,64,3,1,0,1,1,503,141,31.0,54.0,1329.0,918.0,1.65,2.24,0
16,124,0,1,0,4,1,484,223,92.0,82.0,652.0,712.0,2.0,1.79,0
68,47,2,1,0,4,3,165,595,1.0,7.0,9960.0,4425.0,2.09,1.76,0
45,132,2,1,1,1,4,185,269,23.0,138.0,1665.0,402.0,1.39,3.02,0
68,47,2,1,0,1,3,235,405,39.0,78.0,1125.0,695.0,1.85,1.96,0
60,69,0,0,2,0,2,621,132,72.0,56.0,710.0,886.0,2.56,1.51,1
12,31,1,1,2,0,1,761,142,905.0,25.0,18.0,1435.0,12.11,1.03,0
29,38,1,1,2,4,1,472,62,23.0,113.0,1560.0,516.0,1.18,4.83,1
53,17,2,1,2,0,3,569,131,14.0,92.0,2630.0,785.0,1.01,21.38,1
27,37,0,1,2,4,1,679,125,15.0,72.0,2065.0,779.0,1.36,3.06,1
48,85,3,1,0,0,1,108,223,85.0,83.0,688.0,697.0,2.44,1.55,1
81,108,3,1,2,2,2,250,472,12.0,8.0,2645.0,3725.0,2.43,1.55,1
23,131,3,1,2,0,1,306,679,29.0,51.0,2090.0,1312.0,1.58,2.41,0
21,28,0,1,2,1,2,10,379,45.0,15.0,1005.0,2140.0,2.5,1.5,1
1,5,1,1,2,1,1,222,306,35.0,43.0,1255.0,1086.0,2.11,1.71,1
53,17,2,1,2,0,4,129,15,194.0,43.0,254.0,950.0,2.09,1.72,1
87,78,0,1,1,0,1,569,551,18.0,103.0,1960.0,558.0,1.28,3.65,1
64,57,0,1,1,1,2,357,747,169.0,61.0,317.0,792.0,2.44,1.53,0
93,35,0,1,0,1,1,750,593,82.0,27.0,629.0,1412.0,2.57,1.49,1
73,102,1,1,0,0,1,128,110,119.0,22.0,534.0,1685.0,2.19,1.66,0
45,132,2,1,1,4,3,250,165,23.0,1.0,1510.0,12415.0,9.4,1.07,0
56,79,3,1,2,2,1,596,139,54.0,97.0,866.0,583.0,1.55,2.43,1
53,17,2,1,2,0,4,216,753,25.0,66.0,1715.0,768.0,1.22,4.34,1
58,93,0,0,2,7,2,318,235,44.0,28.0,925.0,1350.0,3.1,1.35,0
53,17,2,1,2,1,4,175,216,72.0,25.0,710.0,1715.0,3.34,1.33,0
85,115,0,0,2,4,2,185,89,55.0,242.0,891.0,211.0,1.3,3.55,1
37,136,1,1,0,1,2,568,216,55.0,32.0,823.0,1115.0,2.39,1.55,0
56,113,3,1,2,4,2,152,569,6.0,25.0,4155.0,1630.0,1.4,3.0,1
51,55,0,1,0,0,2,170,21,52.0,221.0,966.0,246.0,1.36,3.15,0
68,20,3,0,2,1,2,165,58,1.0,40.0,15785.0,1080.0,1.02,13.98,1
47,71,0,1,0,0,1,439,529,65.0,51.0,796.0,938.0,3.19,1.35,0
63,127,2,1,2,0,3,511,208,177.0,2.0,323.0,7080.0,17.46,1.02,0
68,47,2,1,0,1,3,216,223,29.0,44.0,1933.0,1456.0,1.78,2.06,1
30,130,0,1,1,4,1,623,559,95.0,283.0,822.0,197.0,1.41,2.85,0
68,47,2,1,0,0,4,681,569,680.0,9.0,38.0,2785.0,14.21,1.02,0
68,47,2,1,0,1,4,58,553,61.0,17.0,827.0,2320.0,3.44,1.31,0
43,50,0,1,0,0,1,336,510,47.0,34.0,1028.0,1345.0,2.17,1.68,1
63,127,2,1,2,0,4,15,225,49.0,53.0,945.0,867.0,2.64,1.47,0
93,35,0,1,0,0,1,125,121,148.0,100.0,417.0,610.0,1.57,2.37,1
43,50,0,1,0,6,1,279,68,116.0,50.0,536.0,965.0,4.26,1.21,0
1,5,1,1,2,0,2,324,313,26.0,22.0,1370.0,1760.0,2.23,1.64,1
45,132,2,1,1,0,3,577,629,62.0,16.0,901.0,2293.0,3.14,1.36,0
63,127,2,1,2,0,3,475,344,101.0,108.0,532.0,503.0,2.32,1.61,0
29,38,1,1,2,0,2,129,662,124.0,59.0,467.0,786.0,1.7,2.12,1
9,23,1,1,0,0,1,22,107,40.0,75.0,1121.0,748.0,1.33,3.3,1
6,18,0,1,2,0,2,679,129,42.0,93.0,1030.0,617.0,1.32,3.44,1
22,29,0,1,2,0,2,132,119,48.0,104.0,945.0,571.0,2.06,1.74,0
7,61,0,1,2,6,2,10,720,16.0,65.0,2080.0,741.0,1.59,2.32,0
33,51,0,1,0,0,2,652,184,57.0,380.0,830.0,119.0,1.54,2.44,0
35,118,0,1,0,4,1,568,712,79.0,66.0,742.0,808.0,2.36,1.58,1
96,32,1,1,2,2,1,90,25,130.0,15.0,642.0,2738.0,2.36,1.57,1
10,119,1,0,2,7,1,147,208,28.0,3.0,1440.0,6950.0,6.88,1.1,0
55,94,0,0,2,0,2,252,5,209.0,48.0,261.0,974.0,2.45,1.53,1
29,38,1,1,2,1,1,443,485,6.0,29.0,4030.0,1580.0,1.4,2.89,1
18,14,0,1,0,0,2,437,579,29.0,211.0,1264.0,225.0,1.19,4.48,1
43,50,0,1,0,0,2,383,748,112.0,101.0,485.0,515.0,1.31,3.32,1
41,21,3,1,2,0,2,540,187,40.0,82.0,1018.0,663.0,2.15,1.68,1
31,81,0,1,0,0,2,246,187,143.0,89.0,404.0,613.0,2.0,1.78,0
28,97,0,1,2,1,1,208,200,6.0,28.0,6630.0,1794.0,1.51,2.54,1
52,90,0,0,2,0,2,164,316,90.0,193.0,626.0,275.0,2.91,1.41,0
41,21,3,1,2,0,1,733,727,100.0,186.0,557.0,316.0,1.44,2.78,1
29,38,1,1,2,0,2,663,316,42.0,147.0,1230.0,369.0,1.48,2.67,1
81,108,3,1,2,1,1,455,165,43.0,4.0,1215.0,5560.0,4.45,1.2,0
23,131,3,1,2,1,1,642,383,6.0,66.0,4725.0,839.0,1.1,6.82,0
41,21,3,1,2,1,2,747,560,60.0,26.0,801.0,1480.0,3.34,1.32,1
40,126,0,1,0,0,2,324,747,33.0,85.0,1225.0,657.0,1.38,2.99,0
68,47,2,1,0,0,4,80,443,266.0,66.0,198.0,782.0,2.76,1.44,1
33,51,0,1,0,0,1,743,305,59.0,839.0,81.0,719.0,2.19,1.66,1
43,50,0,1,0,1,1,678,336,63.0,47.0,829.0,1028.0,3.15,1.35,0
48,85,3,1,0,1,2,210,697,30.0,11.0,1230.0,2825.0,2.84,1.42,1
40,126,0,1,0,0,1,648,414,166.0,138.0,359.0,420.0,2.88,1.4,0
53,17,2,1,2,1,4,697,383,12.0,94.0,2505.0,627.0,1.05,10.57,1
59,27,3,1,2,1,1,513,708,11.0,25.0,2985.0,1462.0,1.41,2.89,1
74,64,3,1,0,4,2,510,677,6.0,15.0,4290.0,2340.0,1.43,2.78,1
37,52,1,1,0,0,2,135,223,72.0,49.0,770.0,982.0,1.75,2.09,1
95,42,1,0,2,0,2,332,324,23.0,31.0,1670.0,1365.0,1.8,1.97,1
97,133,0,1,2,0,2,61,292,107.0,64.0,525.0,742.0,2.0,1.8,1
70,72,0,1,2,7,1,80,265,60.0,95.0,781.0,584.0,1.64,2.24,0
41,21,3,1,2,1,1,86,534,117.0,11.0,501.0,3330.0,7.3,1.1,0
57,83,3,1,0,1,2,592,677,33.0,7.0,1378.0,3665.0,3.86,1.26,0
41,21,3,1,2,1,2,472,102,16.0,52.0,1950.0,864.0,1.27,3.61,1
68,47,2,1,0,0,3,661,534,116.0,17.0,541.0,2170.0,3.1,1.37,0
27,37,0,1,2,1,1,313,381,9.0,133.0,3225.0,423.0,1.12,6.47,1
77,30,0,0,0,4,1,233,711,22.0,171.0,2180.0,414.0,1.33,3.3,1
64,57,0,1,1,0,2,285,78,208.0,176.0,274.0,321.0,2.15,1.7,1
46,70,0,1,2,6,1,132,696,15.0,5.0,2225.0,4850.0,2.97,1.39,0
11,111,0,1,0,0,1,652,356,56.0,184.0,940.0,282.0,1.59,2.33,1
52,90,0,0,2,1,1,236,306,86.0,21.0,684.0,1775.0,4.14,1.22,0
48,85,3,1,0,3,1,393,496,31.0,512.0,1305.0,75.0,1.87,1.92,1
28,97,1,1,2,0,1,4,121,3.0,192.0,7410.0,313.0,1.03,12.75,1
74,64,3,1,0,0,2,153,568,70.0,41.0,800.0,1180.0,1.54,2.48,0
68,47,2,1,0,1,4,569,184,6.0,380.0,4450.0,121.0,1.04,11.12,1
73,102,1,1,0,0,1,427,233,95.0,91.0,594.0,623.0,1.8,2.02,0
47,71,0,1,0,1,1,110,711,28.0,1345.0,97.0,648.0,1.36,3.09,1
5,44,0,0,2,1,1,337,64,17.0,528.0,2245.0,58.0,1.09,7.16,1
74,64,3,1,0,2,1,82,532,53.0,240.0,931.0,248.0,1.51,2.56,1
58,93,0,0,2,4,2,140,472,125.0,20.0,433.0,1725.0,3.05,1.36,0
22,29,0,1,2,1,2,529,70,47.0,474.0,960.0,83.0,1.48,2.6,1
11,111,0,1,0,1,2,746,216,337.0,15.0,136.0,2030.0,4.48,1.2,0
97,133,0,1,2,4,2,719,691,47.0,35.0,985.0,1270.0,1.76,2.04,0
68,47,2,1,0,2,3,236,733,239.0,17.0,215.0,2185.0,11.69,1.04,1
68,47,2,1,0,2,3,642,354,2.0,56.0,8770.0,892.0,1.03,13.59,1
23,131,3,1,2,1,1,121,596,17.0,44.0,2130.0,1001.0,1.55,2.4,1
57,83,3,1,0,1,2,349,733,28.0,4.0,1330.0,6370.0,2.87,1.4,0
47,71,0,1,0,4,2,63,640,14.0,32.0,2780.0,1175.0,1.48,2.66,1
29,38,1,1,2,4,1,696,68,11.0,30.0,3005.0,1530.0,2.37,1.58,1
53,17,2,1,2,3,3,733,443,15.0,4.0,2045.0,5960.0,3.79,1.27,1
81,108,3,1,2,1,1,125,733,30.0,236.0,1552.0,243.0,1.37,3.06,1
41,21,3,1,2,1,2,163,719,4.0,39.0,4635.0,1260.0,1.47,2.68,0
5,44,0,0,2,1,1,236,662,96.0,27.0,634.0,1447.0,2.29,1.61,1
81,108,3,1,2,0,2,743,640,324.0,47.0,149.0,980.0,3.55,1.3,0
31,81,0,1,0,1,2,379,359,46.0,104.0,980.0,514.0,1.47,2.63,1
71,99,1,1,1,1,1,553,443,29.0,13.0,1295.0,2625.0,2.65,1.48,0
23,131,3,1,2,1,2,344,102,102.0,13.0,554.0,2290.0,2.37,1.59,0
96,32,1,1,2,2,1,485,678,49.0,33.0,1002.0,1331.0,2.02,1.78,0
74,64,3,1,0,0,1,7,756,65.0,120.0,792.0,513.0,1.51,2.55,1
7,4,0,1,2,0,2,30,422,36.0,60.0,1140.0,781.0,2.22,1.64,1
74,64,3,1,0,4,1,765,496,6.0,3.0,6945.0,9630.0,2.99,1.39,0
91,103,3,1,2,1,2,648,747,26.0,57.0,1495.0,862.0,1.3,3.41,1
69,41,0,1,0,1,1,490,529,80.0,40.0,907.0,1544.0,1.37,3.04,1
37,44,0,1,0,0,1,117,760,151.0,79.0,408.0,737.0,2.36,1.57,0
71,99,1,1,1,0,1,513,336,13.0,40.0,2565.0,985.0,1.33,3.29,1
97,133,0,1,2,1,1,354,488,63.0,76.0,814.0,732.0,2.29,1.61,1
40,126,0,1,0,0,2,93,471,75.0,124.0,685.0,455.0,2.22,1.64,1
48,85,3,1,0,0,1,279,453,58.0,74.0,899.0,766.0,2.08,1.74,0
68,20,3,0,2,2,1,696,765,6.0,9.0,4435.0,3540.0,1.89,1.91,1
16,124,0,1,0,6,1,223,29,90.0,36.0,655.0,1385.0,2.09,1.73,0
51,55,0,1,0,0,2,491,261,75.0,147.0,707.0,395.0,1.71,2.1,0
63,127,2,1,2,0,3,750,406,116.0,97.0,702.0,813.0,1.62,2.31,1
61,19,0,1,0,1,1,139,25,85.0,34.0,702.0,1200.0,3.37,1.31,0
81,108,3,1,2,1,1,642,139,1.0,93.0,11010.0,619.0,1.01,16.19,1
78,25,0,0,0,1,2,216,242,42.0,127.0,980.0,455.0,1.29,3.53,1
60,69,0,0,2,6,1,422,623,49.0,46.0,1030.0,1051.0,2.2,1.69,1
95,42,1,0,2,0,1,513,313,85.0,9.0,646.0,3380.0,2.41,1.57,0
52,90,0,0,2,1,1,443,642,5.0,68.0,5890.0,793.0,1.26,3.77,1
48,85,3,1,0,1,1,336,496,32.0,4.0,1291.0,6435.0,3.42,1.31,0
53,17,2,1,2,3,4,210,313,8.0,11.0,4145.0,2495.0,1.51,2.56,1
48,85,3,1,0,0,2,553,250,58.0,13.0,860.0,2605.0,3.13,1.35,1
68,47,2,1,0,0,3,455,111,33.0,109.0,1550.0,530.0,2.0,1.83,0
78,25,0,0,0,0,1,490,602,61.0,389.0,829.0,39.0,1.11,6.49,1
58,93,0,0,2,0,1,640,553,130.0,156.0,553.0,442.0,1.8,2.01,1
88,120,0,1,2,1,2,489,458,25.0,127.0,1695.0,456.0,2.09,1.73,1
78,25,0,0,0,1,2,540,320,57.0,73.0,905.0,728.0,1.52,2.54,0
37,52,1,1,0,0,1,662,475,36.0,91.0,1265.0,612.0,1.65,2.23,1
56,113,3,1,2,1,1,15,250,88.0,20.0,652.0,1685.0,6.05,1.13,0
28,97,0,1,2,4,1,719,484,49.0,81.0,1025.0,638.0,1.58,2.38,0
68,47,2,1,0,0,3,475,47,84.0,33.0,749.0,1395.0,1.4,2.95,1
84,112,0,0,2,7,1,443,223,16.0,47.0,2000.0,959.0,1.16,5.35,1
45,132,2,1,1,1,4,132,623,40.0,27.0,1080.0,1280.0,4.22,1.21,0
68,47,2,1,0,0,3,688,422,119.0,48.0,483.0,976.0,1.5,2.62,0
95,129,1,0,2,4,1,132,307,27.0,11.0,1495.0,3130.0,2.23,1.64,1
30,130,0,1,1,4,1,96,651,39.0,27.0,1616.0,2042.0,1.76,2.05,0
45,132,2,1,1,0,3,59,733,171.0,19.0,311.0,1715.0,5.47,1.15,0
88,13,0,1,2,0,2,314,370,48.0,69.0,850.0,705.0,2.29,1.6,0
23,131,3,1,2,1,1,592,733,70.0,23.0,836.0,1670.0,2.35,1.59,1
53,76,0,1,2,0,1,298,134,375.0,112.0,113.0,683.0,2.79,1.43,0
90,100,1,1,2,4,2,489,379,36.0,15.0,1175.0,2050.0,2.56,1.49,0
81,108,3,1,2,1,2,324,493,47.0,2.0,915.0,8640.0,6.94,1.09,0
97,133,0,1,2,0,2,350,170,70.0,39.0,709.0,1115.0,2.47,1.52,1
67,15,0,0,2,6,1,517,422,58.0,34.0,885.0,1286.0,2.37,1.58,0
45,132,2,1,1,0,3,89,396,142.0,74.0,422.0,761.0,1.5,2.6,1
45,75,4,0,2,5,2,250,165,11.0,2.0,2780.0,10780.0,6.32,1.11,0
17,49,0,1,0,6,2,410,553,38.0,14.0,1063.0,2516.0,3.47,1.3,0
77,30,0,0,0,0,1,437,475,111.0,88.0,509.0,669.0,2.23,1.63,0
63,127,2,1,2,0,4,175,324,79.0,22.0,691.0,1635.0,5.95,1.13,0
53,17,2,1,2,0,3,496,180,2.0,237.0,7480.0,206.0,1.04,11.64,1
21,28,0,1,2,1,2,677,741,10.0,193.0,3295.0,290.0,1.08,7.46,1
56,113,3,1,2,1,1,185,108,53.0,16.0,915.0,2021.0,2.17,1.69,0
56,79,3,1,2,0,1,728,25,150.0,36.0,445.0,1165.0,4.05,1.23,0
75,0,1,0,2,1,2,733,232,8.0,27.0,4050.0,1360.0,1.27,3.62,1
60,69,0,0,2,1,2,46,164,209.0,90.0,247.0,583.0,1.71,2.12,1
11,111,0,1,0,1,2,471,765,27.0,123.0,1215.0,439.0,1.45,2.68,0
45,132,2,1,1,1,4,517,648,216.0,18.0,248.0,2335.0,5.89,1.14,1
2,7,0,1,2,1,1,623,187,84.0,69.0,636.0,800.0,3.3,1.33,0
48,85,3,1,0,0,1,750,439,42.0,54.0,958.0,865.0,1.59,2.35,1
31,82,0,1,0,0,1,383,437,23.0,62.0,1515.0,850.0,1.73,2.09,0
68,20,3,0,2,2,2,210,163,8.0,29.0,3945.0,1315.0,1.46,2.68,1
29,38,1,1,2,0,1,331,240,42.0,77.0,1395.0,936.0,1.4,2.9,1
35,118,0,1,0,0,2,383,93,70.0,113.0,686.0,490.0,1.63,2.3,0
97,133,0,1,2,2,2,119,68,23.0,60.0,1630.0,899.0,1.57,2.42,1
72,40,0,1,0,0,2,242,547,159.0,141.0,343.0,401.0,1.4,2.94,1
75,0,1,0,2,1,1,443,719,16.0,26.0,2160.0,1455.0,1.32,3.39,1
84,48,0,0,2,1,2,129,422,214.0,49.0,244.0,845.0,2.45,1.53,0
55,94,0,0,2,0,2,420,276,40.0,154.0,1083.0,371.0,1.2,4.37,1
88,13,0,1,2,4,2,684,225,17.0,50.0,1720.0,863.0,1.25,3.89,0
1,5,1,1,2,6,1,593,595,7.0,11.0,3700.0,3120.0,2.23,1.64,0
74,64,3,1,0,3,1,443,494,11.0,9.0,3290.0,3550.0,2.57,1.52,0
37,44,0,1,0,1,1,467,383,160.0,43.0,451.0,1575.0,1.96,1.83,0
63,127,2,1,2,0,3,633,236,158.0,99.0,400.0,598.0,2.06,1.78,0
81,108,3,1,2,2,2,170,208,41.0,2.0,1116.0,7505.0,6.26,1.12,0
97,133,0,1,2,1,1,708,371,55.0,385.0,915.0,126.0,1.2,4.5,0
73,102,1,1,0,4,1,765,128,2.0,86.0,8135.0,673.0,1.13,5.91,0
57,83,3,1,0,2,2,733,163,9.0,11.0,4405.0,3055.0,1.48,2.59,0
23,131,3,1,2,0,1,568,222,49.0,42.0,1378.0,1550.0,3.24,1.34,1
63,127,2,1,2,0,4,260,359,119.0,102.0,470.0,534.0,2.35,1.58,0
21,28,0,1,2,0,1,516,328,53.0,319.0,930.0,168.0,1.17,4.95,1
70,72,0,1,2,4,1,121,265,17.0,95.0,2105.0,584.0,1.43,2.79,0
84,112,0,0,2,6,1,593,642,31.0,10.0,1336.0,3200.0,3.69,1.28,1
41,21,3,1,2,0,1,426,583,58.0,96.0,914.0,631.0,1.55,2.5,1
28,97,0,1,2,4,1,47,208,42.0,6.0,1405.0,6630.0,4.85,1.18,1
96,32,1,1,2,0,1,396,596,109.0,55.0,574.0,901.0,3.15,1.35,0
23,131,3,1,2,0,1,320,494,25.0,18.0,1710.0,2250.0,2.89,1.41,0
53,17,2,1,2,2,4,579,472,225.0,25.0,233.0,1485.0,8.61,1.06,0
27,37,0,1,2,1,1,306,336,44.0,50.0,1086.0,999.0,2.09,1.72,1
61,19,0,1,0,4,1,708,595,40.0,7.0,1161.0,4110.0,3.55,1.29,1
55,94,0,0,2,6,1,306,216,23.0,147.0,1540.0,409.0,1.21,4.31,1
73,102,1,1,0,7,1,25,164,104.0,90.0,540.0,627.0,1.72,2.14,0
10,119,1,0,2,0,1,593,147,25.0,24.0,1703.0,1745.0,2.17,1.68,1
18,14,0,1,0,0,1,719,155,201.0,103.0,325.0,684.0,2.87,1.41,1
7,4,0,1,2,4,1,164,396,70.0,65.0,713.0,760.0,1.69,2.16,0
0,101,0,1,1,0,2,186,647,69.0,125.0,833.0,454.0,1.33,3.3,1
68,47,2,1,0,1,4,172,163,57.0,5.0,910.0,4870.0,5.71,1.14,0
57,83,3,1,0,1,2,337,102,52.0,19.0,877.0,2025.0,3.18,1.34,0
91,103,3,1,2,0,2,553,256,23.0,318.0,1644.0,148.0,1.07,8.1,1
56,79,3,1,2,0,1,141,629,75.0,126.0,771.0,505.0,3.95,1.24,0
31,82,0,1,0,1,1,80,353,58.0,37.0,921.0,1215.0,3.15,1.35,0
49,74,0,1,1,7,1,265,484,34.0,83.0,1535.0,739.0,1.56,2.39,1
88,13,0,1,2,1,2,349,678,32.0,75.0,1325.0,699.0,1.52,2.5,1
35,118,0,1,0,1,1,568,719,85.0,30.0,639.0,1335.0,2.06,1.76,1
33,51,0,1,0,1,1,208,15,8.0,75.0,5605.0,950.0,1.32,3.33,0
96,32,1,1,2,1,1,708,251,26.0,198.0,1446.0,265.0,1.28,3.58,1
55,94,0,0,2,1,1,216,96,147.0,32.0,409.0,1369.0,3.7,1.27,1
63,127,2,1,2,4,4,733,10,5.0,14.0,5710.0,2160.0,1.56,2.43,1
26,36,1,0,2,1,1,490,631,64.0,13.0,882.0,2980.0,6.68,1.1,1
61,19,0,1,0,0,2,182,660,108.0,120.0,505.0,465.0,3.32,1.32,0
53,17,2,1,2,0,3,526,628,74.0,194.0,701.0,289.0,1.44,2.79,0
29,38,1,1,2,0,1,102,696,27.0,6.0,1500.0,4745.0,3.3,1.32,0
15,26,0,1,2,0,2,153,464,67.0,175.0,755.0,299.0,2.03,1.77,0
49,74,0,1,1,0,1,284,750,298.0,50.0,177.0,856.0,1.46,2.81,1
1,5,1,1,2,0,2,422,280,58.0,446.0,800.0,92.0,1.03,12.24,1
43,50,0,1,0,0,1,593,688,206.0,88.0,349.0,861.0,2.13,1.71,1
52,90,0,0,2,0,2,652,677,45.0,48.0,947.0,897.0,2.14,1.67,0
33,51,0,1,0,1,1,248,222,3390.0,9.0,730.0,74.0,3.39,1.31,0
63,127,2,1,2,0,4,65,618,95.0,33.0,566.0,1280.0,4.24,1.22,0
10,119,1,0,2,0,2,252,250,69.0,10.0,758.0,2840.0,3.41,1.31,0
12,31,1,1,2,1,2,63,592,20.0,39.0,2195.0,1182.0,1.43,2.79,0
53,17,2,1,2,1,3,513,756,22.0,133.0,1710.0,487.0,1.35,3.22,1
32,45,0,0,2,1,1,494,750,28.0,74.0,1437.0,699.0,1.47,2.65,1
51,55,0,1,0,6,1,200,101,30.0,82.0,1345.0,675.0,2.05,1.76,0
41,21,3,1,2,0,1,522,101,199.0,85.0,336.0,877.0,3.12,1.36,0
48,85,3,1,0,0,1,432,128,48.0,70.0,1130.0,872.0,1.93,1.88,0
93,35,0,1,0,7,2,592,410,74.0,34.0,647.0,1223.0,1.89,1.9,1
41,21,3,1,2,1,2,697,216,8.0,43.0,3480.0,980.0,1.12,5.99,0
63,127,2,1,2,1,3,135,421,53.0,94.0,1013.0,557.0,1.75,2.09,0
57,83,3,1,0,6,1,496,216,2.0,18.0,8725.0,1885.0,1.08,7.91,0
86,116,0,0,2,4,2,63,163,5.0,26.0,4840.0,1405.0,1.52,2.5,1
29,38,1,1,2,0,2,132,720,38.0,55.0,1066.0,840.0,1.68,2.16,1
5,44,0,0,2,1,1,513,618,87.0,17.0,633.0,1940.0,2.46,1.55,0
51,55,0,1,0,0,2,232,410,94.0,37.0,590.0,1063.0,1.78,2.0,0
41,21,3,1,2,1,1,243,222,217.0,4.0,256.0,4900.0,7.92,1.08,0
68,47,2,1,0,0,4,195,314,75.0,80.0,685.0,669.0,1.84,1.95,0
74,64,3,1,0,0,1,305,365,82.0,66.0,720.0,782.0,1.94,1.86,0
99,135,0,1,2,0,1,422,759,61.0,333.0,971.0,121.0,1.31,3.43,1
1,5,1,1,2,0,2,152,679,32.0,89.0,1110.0,614.0,1.15,5.34,1
40,126,0,1,0,0,2,20,119,138.0,118.0,389.0,476.0,1.86,1.9,0
34,54,0,0,2,1,1,534,8,30.0,231.0,1375.0,230.0,1.07,8.01,1
6,18,0,1,2,0,1,186,421,100.0,102.0,571.0,562.0,2.81,1.43,1
97,133,0,1,2,0,2,314,747,69.0,68.0,716.0,730.0,2.12,1.69,1
60,69,0,0,2,0,2,383,681,78.0,140.0,707.0,423.0,2.89,1.4,1
53,17,2,1,2,0,3,336,732,60.0,102.0,890.0,610.0,1.31,3.49,1
23,131,3,1,2,0,2,696,250,15.0,11.0,2089.0,3085.0,2.13,1.72,0
58,93,0,0,2,0,1,80,250,68.0,52.0,924.0,1141.0,1.95,1.85,0
89,123,0,0,2,7,1,165,121,7.0,16.0,3570.0,2345.0,1.22,4.22,1
56,79,3,1,2,1,1,200,511,27.0,96.0,1567.0,705.0,1.51,2.55,0
77,30,0,0,0,4,1,29,185,31.0,90.0,1510.0,662.0,1.26,3.82,1
31,81,0,1,0,4,2,102,5,21.0,86.0,1965.0,630.0,1.77,2.04,1
75,0,1,0,2,1,1,96,534,43.0,56.0,1385.0,1080.0,1.78,2.04,0
27,37,0,1,2,6,1,313,200,9.0,148.0,3225.0,384.0,1.42,2.9,0
73,102,1,1,0,0,1,110,236,26.0,93.0,1825.0,636.0,1.15,5.24,1
5,44,0,0,2,4,1,306,284,38.0,90.0,1306.0,748.0,1.52,2.52,1
37,52,1,1,0,1,2,662,437,54.0,138.0,858.0,403.0,1.6,2.32,0
41,21,3,1,2,0,2,379,367,37.0,131.0,1135.0,431.0,1.37,3.0,1
16,124,0,1,0,0,1,501,223,93.0,90.0,637.0,655.0,2.59,1.48,0
58,93,0,0,2,0,2,406,61,32.0,128.0,1330.0,453.0,1.79,1.99,1
47,71,0,1,0,4,1,696,511,5.0,60.0,7430.0,1084.0,1.03,12.07,1
1,5,1,1,2,0,1,164,324,54.0,82.0,1106.0,885.0,1.87,1.93,1
9,92,1,1,0,2,2,200,677,43.0,9.0,954.0,3385.0,7.17,1.09,0
88,120,0,1,2,0,2,170,691,37.0,54.0,1276.0,880.0,1.43,2.8,1
87,78,0,1,1,0,2,640,723,55.0,281.0,950.0,194.0,1.13,6.08,1
20,55,0,1,0,0,2,330,15,114.0,64.0,484.0,770.0,2.73,1.43,0
37,52,1,1,0,7,2,437,436,138.0,101.0,403.0,533.0,1.57,2.41,1
37,136,1,1,0,0,2,496,719,10.0,41.0,3000.0,1010.0,1.15,5.26,1
45,132,2,1,1,1,3,30,68,135.0,20.0,420.0,1665.0,6.48,1.12,0
29,38,1,1,2,1,1,30,472,128.0,23.0,450.0,1560.0,5.82,1.14,0
27,37,0,1,2,1,1,498,524,43.0,121.0,1250.0,491.0,1.98,1.8,1
81,108,3,1,2,0,2,560,379,29.0,14.0,1375.0,2460.0,3.68,1.27,0
58,93,0,0,2,1,1,269,3,83.0,90.0,659.0,620.0,1.58,2.4,0
10,119,1,0,2,7,1,631,485,23.0,50.0,2010.0,1026.0,1.44,2.76,0
23,131,3,1,2,0,2,102,410,17.0,38.0,2305.0,1135.0,1.34,3.24,1
31,43,0,1,0,0,1,583,568,120.0,52.0,490.0,880.0,3.11,1.36,1
23,131,3,1,2,0,1,422,233,59.0,32.0,916.0,1317.0,1.69,2.17,1
64,57,0,1,1,1,2,93,560,80.0,36.0,614.0,1140.0,2.93,1.38,1
68,20,3,0,2,0,1,551,320,39.0,20.0,1110.0,1765.0,2.18,1.68,0
36,58,1,1,1,0,1,455,110,33.0,18.0,1570.0,2285.0,1.83,1.96,1
29,38,1,1,2,1,1,376,592,60.0,7.0,990.0,4590.0,4.34,1.21,0
68,20,3,0,2,1,1,49,163,25.0,10.0,1650.0,3335.0,1.74,2.11,0
75,0,1,0,2,0,2,292,406,109.0,31.0,530.0,1330.0,2.34,1.58,1
77,30,0,0,0,6,1,626,522,182.0,297.0,277.0,139.0,1.29,3.55,1
45,132,2,1,1,3,3,353,337,50.0,29.0,1272.0,1965.0,1.95,1.85,0
0,104,0,1,1,1,1,292,250,45.0,33.0,1008.0,1235.0,3.05,1.37,0
41,21,3,1,2,6,2,569,152,38.0,8.0,1270.0,3200.0,2.8,1.45,0
68,47,2,1,0,0,3,475,352,131.0,86.0,454.0,715.0,3.0,1.4,0
81,108,3,1,2,1,2,592,152,35.0,23.0,1247.0,1865.0,3.05,1.37,0
29,38,1,1,2,1,1,337,551,22.0,86.0,2200.0,863.0,1.57,2.39,1
48,85,3,1,0,1,1,110,438,21.0,160.0,2225.0,354.0,1.1,7.05,1
