p1_rank,p2_rank,p1_winrate,p2_winrate,surface,target
46.0,33.0,0.875,0.625,3,0
40.0,84.0,0.6666666666666666,0.5,3,1
84.0,40.0,0.5,0.6666666666666666,3,0
55.0,100.0,0.3333333333333333,0.0,3,1
100.0,55.0,0.0,0.3333333333333333,3,0
33.0,67.0,0.625,0.6666666666666666,3,1
67.0,33.0,0.6666666666666666,0.625,3,0
40.0,55.0,0.6666666666666666,0.3333333333333333,3,1
55.0,40.0,0.3333333333333333,0.6666666666666666,3,0
33.0,40.0,0.625,0.6666666666666666,3,1
40.0,33.0,0.6666666666666666,0.625,3,0
44.0,94.0,0.6,0.5,3,1
94.0,44.0,0.5,0.6,3,0
66.0,58.0,0.5,0.4,3,1
58.0,66.0,0.4,0.5,3,0
61.0,65.0,0.0,0.5,3,1
65.0,61.0,0.5,0.0,3,0
28.0,115.0,0.6666666666666666,0.5,3,1
115.0,28.0,0.5,0.6666666666666666,3,0
61.0,89.0,0.0,0.6666666666666666,3,1
89.0,61.0,0.6666666666666666,0.0,3,0
19.0,127.0,0.5,0.3333333333333333,3,1
127.0,19.0,0.3333333333333333,0.5,3,0
28.0,61.0,0.6666666666666666,0.0,3,1
61.0,28.0,0.0,0.6666666666666666,3,0
49.0,23.0,0.5,0.25,3,1
23.0,49.0,0.25,0.5,3,0
44.0,19.0,0.6,0.5,3,1
19.0,44.0,0.5,0.6,3,0
44.0,49.0,0.6,0.5,3,1
49.0,44.0,0.5,0.6,3,0
28.0,44.0,0.6666666666666666,0.6,3,1
44.0,28.0,0.6,0.6666666666666666,3,0
122.0,113.0,0.4,0.3333333333333333,1,1
113.0,122.0,0.3333333333333333,0.4,1,0
14.0,106.0,0.6,0.25,1,1
106.0,14.0,0.25,0.6,1,0
68.0,122.0,0.25,0.4,1,1
122.0,68.0,0.4,0.25,1,0
32.0,68.0,0.6,0.25,1,1
68.0,32.0,0.25,0.6,1,0
14.0,32.0,0.6,0.6,1,1
32.0,14.0,0.6,0.6,1,0
93.0,78.0,0.4,0.25,3,1
78.0,93.0,0.25,0.4,3,0
70.0,55.0,0.5714285714285714,0.5,3,1
55.0,70.0,0.5,0.5714285714285714,3,0
25.0,91.0,0.5714285714285714,0.25,3,1
91.0,25.0,0.25,0.5714285714285714,3,0
41.0,39.0,0.0,0.4,3,1
39.0,41.0,0.4,0.0,3,0
67.0,40.0,0.6,0.625,3,1
40.0,67.0,0.625,0.6,3,0
49.0,89.0,0.7,0.3333333333333333,3,1
89.0,49.0,0.3333333333333333,0.7,3,0
18.0,86.0,0.6666666666666666,0.5714285714285714,3,1
86.0,18.0,0.5714285714285714,0.6666666666666666,3,0
49.0,23.0,0.7,0.3333333333333333,3,1
23.0,49.0,0.3333333333333333,0.7,3,0
42.0,93.0,0.625,0.4,3,1
93.0,42.0,0.4,0.625,3,0
15.0,70.0,0.625,0.5714285714285714,3,1
70.0,15.0,0.5714285714285714,0.625,3,0
41.0,18.0,0.0,0.6666666666666666,3,1
18.0,41.0,0.6666666666666666,0.0,3,0
67.0,49.0,0.6,0.7,3,1
49.0,67.0,0.7,0.6,3,0
15.0,42.0,0.625,0.625,3,1
42.0,15.0,0.625,0.625,3,0
5.0,41.0,0.75,0.0,3,1
41.0,5.0,0.0,0.75,3,0
15.0,67.0,0.625,0.6,3,1
67.0,15.0,0.6,0.625,3,0
5.0,15.0,0.75,0.625,3,1
15.0,5.0,0.625,0.75,3,0
37.0,20.0,0.6666666666666666,0.5,3,1
20.0,37.0,0.5,0.6666666666666666,3,0
27.0,64.0,0.75,0.3333333333333333,3,1
64.0,27.0,0.3333333333333333,0.75,3,0
69.0,51.0,0.3333333333333333,0.5714285714285714,3,1
51.0,69.0,0.5714285714285714,0.3333333333333333,3,0
50.0,29.0,0.5714285714285714,0.3333333333333333,3,1
29.0,50.0,0.3333333333333333,0.5714285714285714,3,0
59.0,22.0,0.6,0.3333333333333333,3,1
22.0,59.0,0.3333333333333333,0.6,3,0
34.0,28.0,0.5,0.25,3,1
28.0,34.0,0.25,0.5,3,0
19.0,46.0,0.5,0.625,3,1
46.0,19.0,0.625,0.5,3,0
